dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,11.50443,0
"1 Ave & E 18 St",2003,10.11378,4.424779
"1 Ave & E 30 St",536,16.18205,2.654867
"1 Ave & E 44 St",455,36.9153,3.286978
"",489,,
"11 Ave & W 27 St",458,10.99874,2.654867
"11 Ave & W 41 St",478,4.551201,5.436157
"11 Ave & W 59 St",530,2.528445,3.160556
"12 Ave & W 40 St",514,.505689,6.826801
"2 Ave & E 31 St",528,8.849558,0
"",290,,
"",298,,
"5 Ave & E 29 St",474,29.20354,1.390645
"",2004,,
"6 Ave & Canal St",377,27.18078,3.91909
"6 Ave & W 33 St",505,16.56132,.2528445
"",521,,
"8 Ave & W 33 St",490,5.436157,2.528445
"8 Ave & W 52 St",447,21.74463,0
"",404,,
"",463,,
"9 Ave & W 18 St",434,10.61947,0
"9 Ave & W 22 St",509,2.78129,3.539823
"9 Ave & W 45 St",479,6.573957,4.298357
"Adelphi St & Myrtle Ave",270,11.378,6.068268
"Allen St & Stanton St",312,10.36662,1.1378
"Allen St & Hester St",361,8.849558,0
"Allen St & Rivington St",401,11.25158,0
"",271,,
"Atlantic Ave & Fort Greene Pl",83,0,0
"Atlantic Ave & Furman St",398,0,0
"Avenue D & E 12 St",339,6.19469,5.815423
"Avenue D & E 3 St",302,15.54994,6.321113
"Avenue D & E 8 St",266,10.36662,6.700379
"Bank St & Hudson St",346,8.343868,.1264223
"Bank St & Washington St",238,6.447535,1.390645
"Barclay St & Church St",417,6.573957,.505689
"Barrow St & Hudson St",127,8.849558,2.022756
"Bayard St & Baxter St",355,.505689,0
"Bedford Ave & S 9 St",443,4.930468,0
"Bialystoker Pl & Delancey St",356,10.49305,11.25158
"",395,,
"Broad St & Bridge St",260,31.98483,.2528445
"Broadway & Battery Pl",304,10.11378,0
"Broadway & Berry St",389,6.447535,0
"Broadway & E 14 St",285,5.689001,.1264223
"Broadway & E 22 St",402,23.26169,0
"",444,,
"Broadway & W 29 St",486,19.84829,0
"Broadway & W 32 St",498,19.46903,.1264223
"Broadway & W 36 St",267,24.14665,0
"Broadway & W 37 St",362,33.62832,0
"Broadway & W 38 St",533,32.3641,0
"Broadway & W 41 St",465,25.15803,0
"Broadway & W 49 St",173,22.37674,3.539823
"Broadway & W 51 St",500,37.16814,3.286978
"Broadway & W 53 St",469,30.72061,2.78129
"Broadway & W 56 St",468,27.18078,0
"Broadway & W 58 St",457,12.13654,.1264223
"Broadway & W 60 St",499,3.160556,.3792667
"Bus Slip & State St",427,2.149178,.2528445
"Cadman Plaza E & Red Cross Pl",321,.1264223,.8849558
"Cadman Plaza E & Tillary St",232,2.149178,0
"Cadman Plaza West & Montague St",314,3.034134,0
"Canal St & Rutgers St",307,5.562579,0
"Carlton Ave & Park Ave",419,3.91909,0
"Carmine St & 6 Ave",368,1.517067,.2528445
"Catherine St & Monroe St",2009,2.149178,1.011378
"Central Park S & 6 Ave",2006,12.64223,3.666245
"Centre St & Chambers St",387,11.25158,.7585335
"Centre St & Worth St",386,11.378,0
"Cherry St",332,7.711757,4.804046
"Christopher St & Greenwich St",358,7.206068,5.562579
"Clark St & Henry St",391,10.36662,0
"Clermont Ave & Lafayette Ave",420,9.102402,0
"Clermont Ave & Park Ave",421,4.551201,0
"Cleveland Pl & Spring St",151,23.8938,.2528445
"Cliff St & Fulton St",306,4.045512,3.413401
"Clinton Ave & Flushing Ave",343,.505689,.7585335
"Clinton Ave & Myrtle Ave",366,8.849558,2.907712
"Clinton St & Grand St",350,11.88369,1.643489
"Clinton St & Joralemon St",143,1.896334,.6321113
"Clinton St & Tillary St",322,3.91909,0
"Columbia Heights & Cranberry St",216,3.160556,0
"Columbia St & Rivington St",342,7.964602,9.860935
"Concord St & Bridge St",278,1.390645,0
"Cumberland St & Lafayette Ave",416,10.11378,0
"DeKalb Ave & Hudson Ave",324,2.149178,4.045512
"DeKalb Ave & S Portland Ave",241,8.343868,0
"DeKalb Ave & Skillman St",409,2.022756,0
"DeKalb Ave & Vanderbilt Ave",258,10.11378,0
"Dean St & 4 Ave",467,1.390645,0
"Division St & Bowery",296,0,1.1378
"Duane St & Greenwich St",276,3.539823,.1264223
"Duffield St & Willoughby St",390,2.022756,2.528445
"E 10 St & 5 Ave",280,3.792668,0
"E 10 St & Avenue A",445,11.12516,1.643489
"E 11 St & 1 Ave",326,10.74589,3.160556
"E 11 St & 2 Ave",237,7.711757,.1264223
"E 11 St & Broadway",357,17.82554,0
"E 12 St & 3 Ave",483,11.25158,0
"E 13 St & Avenue A",433,9.860935,.8849558
"",511,,
"E 15 St & 3 Ave",297,6.321113,0
"E 16 St & 5 Ave",496,15.17067,.7585335
"",475,,
"E 17 St & Broadway",497,10.36662,.6321113
"E 19 St & 3 Ave",325,10.11378,0
"E 2 St & 2 Ave",403,1.896334,1.390645
"E 2 St & Avenue B",301,13.78003,2.149178
"E 2 St & Avenue C",150,16.81416,3.539823
"E 20 St & 2 Ave",461,10.36662,0
"E 20 St & FDR Drive",487,8.217446,2.022756
"E 20 St & Park Ave",503,18.71049,1.1378
"E 23 St & 1 Ave",545,6.447535,4.551201
"E 24 St & Park Ave S",491,19.21618,1.896334
"E 25 St & 1 Ave",174,8.97598,0
"E 25 St & 2 Ave",507,9.102402,0
"E 27 St & 1 Ave",2012,12.5158,.7585335
"E 3 St & 1 Ave",428,44.62706,44.62706
"E 30 St & Park Ave S",546,12.26296,.1264223
"E 31 St & 3 Ave",476,12.64223,.1264223
"E 32 St & Park Ave",472,21.23894,0
"E 33 St & 2 Ave",527,4.677623,0
"E 33 St & 5 Ave",526,17.31985,.3792667
"",160,,
"E 39 St & 2 Ave",518,9.102402,0
"E 39 St & 3 Ave",167,12.5158,0
"E 4 St & 2 Ave",439,5.815423,0
"",153,,
"",2017,,
"",318,,
"E 45 St & 3 Ave",440,29.07712,.8849558
"E 47 St & 1 Ave",516,38.30594,0
"E 47 St & 2 Ave",164,25.53729,0
"E 47 St & Park Ave",359,18.33123,0
"E 48 St & 3 Ave",228,27.18078,0
"",538,,
