dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,14.49468,2.526596
"1 Ave & E 18 St",2003,13.56383,9.042553
"1 Ave & E 30 St",536,15.15957,3.324468
"1 Ave & E 44 St",455,25.66489,2.925532
"",489,,
"11 Ave & W 27 St",458,11.56915,2.260638
"11 Ave & W 41 St",478,8.37766,5.851064
"11 Ave & W 59 St",530,4.787234,4.521276
"12 Ave & W 40 St",514,1.728723,8.643617
"2 Ave & E 31 St",528,11.30319,0
"",290,,
"",298,,
"5 Ave & E 29 St",474,28.45745,1.329787
"",2004,,
"6 Ave & Canal St",377,13.69681,7.446808
"6 Ave & W 33 St",505,15.95745,.2659574
"",521,,
"8 Ave & W 33 St",490,8.37766,.6648936
"8 Ave & W 52 St",447,31.38298,0
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,5.053192,3.989362
"9 Ave & W 45 St",479,14.62766,4.654255
"Adelphi St & Myrtle Ave",270,11.43617,5.18617
"Allen St & Stanton St",312,13.96277,.2659574
"Allen St & Hester St",361,7.047873,0
"Allen St & Rivington St",401,11.70213,0
"",271,,
"Atlantic Ave & Fort Greene Pl",83,0,0
"Atlantic Ave & Furman St",398,.3989362,0
"Avenue D & E 12 St",339,11.43617,2.393617
"Avenue D & E 3 St",302,17.42021,8.776596
"Avenue D & E 8 St",266,15.0266,10.90425
"Bank St & Hudson St",346,12.10106,3.723404
"Bank St & Washington St",238,7.047873,1.728723
"Barclay St & Church St",417,2.12766,3.989362
"Barrow St & Hudson St",127,2.792553,4.12234
"Bayard St & Baxter St",355,0,1.329787
"Bedford Ave & S 9 St",443,5.053192,0
"Bialystoker Pl & Delancey St",356,5.851064,20.87766
"",395,,
"Broad St & Bridge St",260,5.319149,6.648936
"Broadway & Battery Pl",304,7.845745,.6648936
"Broadway & Berry St",389,8.510638,0
"Broadway & E 14 St",285,9.707447,0
"Broadway & E 22 St",402,18.08511,0
"",444,,
"Broadway & W 29 St",486,24.33511,0
"Broadway & W 32 St",498,26.8617,0
"Broadway & W 36 St",267,23.40425,0
"Broadway & W 37 St",362,34.9734,0
"Broadway & W 38 St",533,37.89894,.1329787
"Broadway & W 41 St",465,25.26596,0
"Broadway & W 49 St",173,23.00532,.3989362
"Broadway & W 51 St",500,30.71808,.1329787
"Broadway & W 53 St",469,36.70213,0
"Broadway & W 56 St",468,27.65957,0
"Broadway & W 58 St",457,20.34575,0
"Broadway & W 60 St",499,5.053192,0
"Bus Slip & State St",427,0,3.191489
"Cadman Plaza E & Red Cross Pl",321,0,3.191489
"Cadman Plaza E & Tillary St",232,2.526596,.1329787
"Cadman Plaza West & Montague St",314,6.382979,0
"Canal St & Rutgers St",307,9.840425,1.329787
"Carlton Ave & Park Ave",419,4.255319,.7978724
"Carmine St & 6 Ave",368,.6648936,3.058511
"Catherine St & Monroe St",2009,.930851,4.12234
"Central Park S & 6 Ave",2006,13.16489,3.590425
"Centre St & Chambers St",387,4.654255,2.260638
"Centre St & Worth St",386,5.585106,2.393617
"Cherry St",332,10.90425,5.053192
"Christopher St & Greenwich St",358,5.319149,4.920213
"Clark St & Henry St",391,8.510638,.2659574
"Clermont Ave & Lafayette Ave",420,8.510638,0
"Clermont Ave & Park Ave",421,5.18617,1.994681
"Cleveland Pl & Spring St",151,13.82979,1.06383
"Cliff St & Fulton St",306,.930851,8.111702
"Clinton Ave & Flushing Ave",343,0,3.058511
"Clinton Ave & Myrtle Ave",366,8.24468,1.861702
"Clinton St & Grand St",350,11.83511,7.446808
"Clinton St & Joralemon St",143,3.723404,3.457447
"Clinton St & Tillary St",322,2.792553,0
"Columbia Heights & Cranberry St",216,2.925532,0
"Columbia St & Rivington St",342,9.707447,12.76596
"Concord St & Bridge St",278,2.393617,0
"Cumberland St & Lafayette Ave",416,9.175532,0
"DeKalb Ave & Hudson Ave",324,1.728723,7.845745
"DeKalb Ave & S Portland Ave",241,6.914894,0
"DeKalb Ave & Skillman St",409,4.654255,0
"DeKalb Ave & Vanderbilt Ave",258,12.23404,.5319149
"Dean St & 4 Ave",467,1.861702,1.462766
"Division St & Bowery",296,0,1.861702
"Duane St & Greenwich St",276,.1329787,6.382979
"Duffield St & Willoughby St",390,1.196808,3.590425
"E 10 St & 5 Ave",280,4.388298,.5319149
"E 10 St & Avenue A",445,13.03191,4.521276
"E 11 St & 1 Ave",326,15.95745,3.590425
"E 11 St & 2 Ave",237,11.70213,.6648936
"E 11 St & Broadway",357,19.94681,0
"E 12 St & 3 Ave",483,12.23404,0
"E 13 St & Avenue A",433,13.56383,0
"",511,,
"E 15 St & 3 Ave",297,10.77128,0
"E 16 St & 5 Ave",496,19.28192,.7978724
"",475,,
"E 17 St & Broadway",497,14.76064,1.196808
"E 19 St & 3 Ave",325,11.17021,0
"E 2 St & 2 Ave",403,3.590425,3.457447
"E 2 St & Avenue B",301,17.15425,5.452127
"E 2 St & Avenue C",150,17.95213,5.585106
"E 20 St & 2 Ave",461,13.16489,.1329787
"E 20 St & FDR Drive",487,11.17021,3.723404
"E 20 St & Park Ave",503,21.14362,2.393617
"E 23 St & 1 Ave",545,16.8883,5.053192
"E 24 St & Park Ave S",491,24.46808,3.723404
"E 25 St & 1 Ave",174,11.83511,0
