dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,4.545455,11.87683
"1 Ave & E 18 St",2003,4.83871,18.32845
"1 Ave & E 30 St",536,5.865103,5.42522
"1 Ave & E 44 St",455,16.42229,4.105572
"",489,,
"11 Ave & W 27 St",458,4.398827,6.01173
"11 Ave & W 41 St",478,6.451613,11.43695
"11 Ave & W 59 St",530,3.519062,4.105572
"12 Ave & W 40 St",514,.2932551,19.06158
"2 Ave & E 31 St",528,0,2.492669
"",290,,
"3 Ave & Schermerhorn St",298,0,4.105572
"5 Ave & E 29 St",474,9.970675,1.906158
"",2004,,
"6 Ave & Canal St",377,5.42522,2.639296
"6 Ave & W 33 St",505,3.958944,5.42522
"",521,,
"8 Ave & W 33 St",490,2.639296,10.70381
"8 Ave & W 52 St",447,10.1173,.7331378
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,.2932551,27.56598
"9 Ave & W 45 St",479,4.83871,10.55719
"Adelphi St & Myrtle Ave",270,12.17009,7.624633
"Allen St & Stanton St",312,3.519062,3.812317
"Allen St & Hester St",361,2.346041,4.2522
"Allen St & Rivington St",401,2.932551,5.865103
"",271,,
"Atlantic Ave & Fort Greene Pl",83,15.9824,15.83578
"Atlantic Ave & Furman St",398,0,5.865103
"Avenue D & E 12 St",339,.7331378,10.70381
"Avenue D & E 3 St",302,10.99707,12.90323
"Avenue D & E 8 St",266,8.944282,15.54252
"Bank St & Hudson St",346,2.346041,8.651027
"Bank St & Washington St",238,1.026393,7.624633
"Barclay St & Church St",417,0,15.68915
"Barrow St & Hudson St",127,0,11.43695
"Bayard St & Baxter St",355,0,11.58358
"Bedford Ave & S 9 St",443,.8797654,0
"Bialystoker Pl & Delancey St",356,11.58358,9.384164
"",395,,
"Broad St & Bridge St",260,1.466276,4.2522
"Broadway & Battery Pl",304,1.17302,.1466276
"Broadway & Berry St",389,3.665689,.8797654
"Broadway & E 14 St",285,0,9.090909
"Broadway & E 22 St",402,9.530792,0
"",444,,
"Broadway & W 29 St",486,5.278593,1.026393
"Broadway & W 32 St",498,4.2522,1.906158
"Broadway & W 36 St",267,0,0
"Broadway & W 37 St",362,0,1.17302
"Broadway & W 38 St",533,13.19648,7.331378
"Broadway & W 41 St",465,10.70381,.4398827
"Broadway & W 49 St",173,21.40763,1.759531
"Broadway & W 51 St",500,24.63343,1.612903
"Broadway & W 53 St",469,20.38123,0
"Broadway & W 56 St",468,16.42229,0
"Broadway & W 58 St",457,100,100
"Broadway & W 60 St",499,8.797654,2.346041
"Bus Slip & State St",427,0,1.17302
"Cadman Plaza E & Red Cross Pl",321,1.319648,2.052786
"Cadman Plaza E & Tillary St",232,100,100
"Cadman Plaza West & Montague St",314,3.225806,.7331378
"Canal St & Rutgers St",307,5.131965,3.665689
"Carlton Ave & Park Ave",419,.2932551,.5865102
"Carmine St & 6 Ave",368,0,11.87683
"Catherine St & Monroe St",2009,.7331378,2.346041
"Central Park S & 6 Ave",2006,12.7566,3.079179
"Centre St & Chambers St",387,2.932551,3.519062
"Centre St & Worth St",386,0,5.42522
"Cherry St",332,6.744868,5.571847
"Christopher St & Greenwich St",358,.7331378,13.92962
"Clark St & Henry St",391,4.2522,.1466276
"Clermont Ave & Lafayette Ave",420,5.865103,.1466276
"Clermont Ave & Park Ave",421,2.346041,3.665689
"Cleveland Pl & Spring St",151,2.199414,8.064516
"",306,,
"Clinton Ave & Flushing Ave",343,0,10.55719
"Clinton Ave & Myrtle Ave",366,9.67742,4.692082
"Clinton St & Grand St",350,5.42522,4.692082
"Clinton St & Joralemon St",143,2.346041,5.131965
"Clinton St & Tillary St",322,100,0
"Columbia Heights & Cranberry St",216,1.612903,0
"Columbia St & Rivington St",342,5.278593,9.970675
"Concord St & Bridge St",278,1.906158,.5865102
"Cumberland St & Lafayette Ave",416,2.639296,0
"DeKalb Ave & Hudson Ave",324,1.759531,2.785924
"DeKalb Ave & S Portland Ave",241,4.545455,.1466276
"DeKalb Ave & Skillman St",409,1.17302,.1466276
"DeKalb Ave & Vanderbilt Ave",258,10.85044,.2932551
"Dean St & 4 Ave",467,1.466276,5.718475
"Division St & Bowery",296,0,11.58358
"Duane St & Greenwich St",276,.1466276,5.571847
"Duffield St & Willoughby St",390,0,4.2522
"E 10 St & 5 Ave",280,0,9.970675
"E 10 St & Avenue A",445,1.612903,13.19648
"E 11 St & 1 Ave",326,5.278593,16.42229
