dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,15.07936,3.306878
"1 Ave & E 18 St",2003,16.13757,16.00529
"1 Ave & E 30 St",536,26.32275,2.116402
"1 Ave & E 44 St",455,32.27513,5.291005
"",489,,
"11 Ave & W 27 St",458,14.55026,2.645503
"11 Ave & W 41 St",478,14.68254,11.37566
"11 Ave & W 59 St",530,10.05291,.3968254
"12 Ave & W 40 St",514,2.380952,8.862433
"2 Ave & E 31 St",528,19.70899,0
"",290,,
"3 Ave & Schermerhorn St",298,1.587302,.1322751
"5 Ave & E 29 St",474,100,100
"",2004,,
"6 Ave & Canal St",377,19.84127,1.190476
"6 Ave & W 33 St",505,41.40211,.3968254
"",521,,
"8 Ave & W 33 St",490,18.25397,2.513227
"8 Ave & W 52 St",447,39.41799,.2645503
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,13.22751,2.777778
"9 Ave & W 45 St",479,22.22222,.2645503
"Adelphi St & Myrtle Ave",270,14.94709,11.50794
"Allen St & Stanton St",312,13.09524,5.026455
"Allen St & Hester St",361,12.83069,11.24339
"Allen St & Rivington St",401,14.41799,6.746032
"",271,,
"Atlantic Ave & Fort Greene Pl",83,79.36508,78.04233
"Atlantic Ave & Furman St",398,2.248677,1.587302
"Avenue D & E 12 St",339,15.47619,10.71429
"Avenue D & E 3 St",302,18.38624,31.61376
"Avenue D & E 8 St",266,15.47619,31.48148
"Bank St & Hudson St",346,12.30159,2.248677
"Bank St & Washington St",238,8.333333,12.56614
"Barclay St & Church St",417,8.465609,1.851852
"Barrow St & Hudson St",127,4.89418,4.761905
"Bayard St & Baxter St",355,3.571429,.6613756
"Bedford Ave & S 9 St",443,18.65079,0
"Bialystoker Pl & Delancey St",356,15.21164,18.25397
"",395,,
"Broad St & Bridge St",260,17.06349,8.597883
"Broadway & Battery Pl",304,6.349206,.3968254
"Broadway & Berry St",389,11.90476,.1322751
"Broadway & E 14 St",285,19.17989,0
"Broadway & E 22 St",402,32.27513,0
"",444,,
"Broadway & W 29 St",486,24.73545,.3968254
"Broadway & W 32 St",498,50.26455,.2645503
"Broadway & W 36 St",267,41.00529,0
"Broadway & W 37 St",362,49.86773,.1322751
"Broadway & W 38 St",533,38.62434,1.587302
"Broadway & W 41 St",465,45.37037,.3968254
"Broadway & W 49 St",173,44.57672,.6613756
"Broadway & W 51 St",500,47.22222,.5291005
"Broadway & W 53 St",469,50.66138,.3968254
"Broadway & W 56 St",468,37.43386,3.439153
"Broadway & W 58 St",457,53.1746,30.55556
"Broadway & W 60 St",499,36.37566,0
"Bus Slip & State St",427,5.687831,4.365079
"Cadman Plaza E & Red Cross Pl",321,12.83069,3.835979
"Cadman Plaza E & Tillary St",232,9.523809,.2645503
"Cadman Plaza West & Montague St",314,18.12169,.1322751
"Canal St & Rutgers St",307,12.43386,13.75661
"Carlton Ave & Park Ave",419,7.142857,1.322751
"Carmine St & 6 Ave",368,10.44974,1.058201
"Catherine St & Monroe St",2009,7.804233,11.90476
"Central Park S & 6 Ave",2006,32.27513,.3968254
"Centre St & Chambers St",387,21.16402,1.984127
"Centre St & Worth St",386,21.69312,.9259259
"Cherry St",332,15.34391,17.46032
"Christopher St & Greenwich St",358,7.671957,8.333333
"Clark St & Henry St",391,16.79894,0
"Clermont Ave & Lafayette Ave",420,17.72487,0
"Clermont Ave & Park Ave",421,10.44974,4.89418
"Cleveland Pl & Spring St",151,15.60847,.7936508
"",306,,
"Clinton Ave & Flushing Ave",343,8.333333,8.201058
"Clinton Ave & Myrtle Ave",366,14.81481,6.481482
"Clinton St & Grand St",350,14.81481,20.37037
"Clinton St & Joralemon St",143,14.28571,3.174603
"Clinton St & Tillary St",322,8.201058,0
"Columbia Heights & Cranberry St",216,6.084656,0
"Columbia St & Rivington St",342,14.55026,28.43915
"Concord St & Bridge St",278,4.761905,.1322751
"Cumberland St & Lafayette Ave",416,18.38624,0
"DeKalb Ave & Hudson Ave",324,9.391535,4.89418
"DeKalb Ave & S Portland Ave",241,15.07936,0
"DeKalb Ave & Skillman St",409,9.259259,.6613756
"DeKalb Ave & Vanderbilt Ave",258,18.78307,2.380952
"Dean St & 4 Ave",467,10.05291,3.306878
"Division St & Bowery",296,4.497355,0
"Duane St & Greenwich St",276,6.349206,2.116402
"Duffield St & Willoughby St",390,8.201058,5.952381
"E 10 St & 5 Ave",280,6.878307,.7936508
"E 10 St & Avenue A",445,8.333333,.9259259
"E 11 St & 1 Ave",326,16.79894,14.81481
"E 11 St & 2 Ave",237,15.74074,5.291005
"E 11 St & Broadway",357,28.96825,.2645503
"E 12 St & 3 Ave",483,18.78307,4.100529
"E 13 St & Avenue A",433,9.259259,1.719577
"",511,,
"E 15 St & 3 Ave",297,22.75132,0
"E 16 St & 5 Ave",496,30.42328,1.851852
"",475,,
"E 17 St & Broadway",497,27.6455,2.513227
"E 19 St & 3 Ave",325,19.31217,.1322751
"E 2 St & 2 Ave",403,9.259259,3.571429
"E 2 St & Avenue B",301,16.93122,2.380952
"E 2 St & Avenue C",150,21.16402,24.4709
"E 20 St & 2 Ave",461,16.53439,.2645503
"E 20 St & FDR Drive",487,10.31746,2.777778
"E 20 St & Park Ave",503,35.31746,1.190476
"E 23 St & 1 Ave",545,12.30159,7.275132
