dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,11.7757,13.83178
"1 Ave & E 18 St",2003,13.83178,20
"1 Ave & E 30 St",536,20.37383,20.18692
"1 Ave & E 44 St",455,17.94393,5.046729
"",489,,
"11 Ave & W 27 St",458,7.663551,6.168224
"11 Ave & W 41 St",478,6.728972,12.33645
"11 Ave & W 59 St",530,5.794393,2.990654
"12 Ave & W 40 St",514,.7476636,22.99065
"2 Ave & E 31 St",528,5.046729,0
"",290,,
"3 Ave & Schermerhorn St",298,0,4.859813
"5 Ave & E 29 St",474,69.53271,65.98131
"",2004,,
"6 Ave & Canal St",377,13.08411,.7476636
"6 Ave & W 33 St",505,30.28037,.9345794
"",521,,
"8 Ave & W 33 St",490,8.224299,7.476635
"8 Ave & W 52 St",447,23.5514,0
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,3.17757,14.01869
"9 Ave & W 45 St",479,9.345795,6.168224
"Adelphi St & Myrtle Ave",270,8.598131,6.728972
"Allen St & Stanton St",312,7.850467,6.35514
"Allen St & Hester St",361,10.28037,5.794393
"Allen St & Rivington St",401,11.96262,2.429907
"",271,,
"Atlantic Ave & Fort Greene Pl",83,100,100
"Atlantic Ave & Furman St",398,0,1.682243
"Avenue D & E 12 St",339,5.046729,14.39252
"Avenue D & E 3 St",302,12.33645,19.25234
"Avenue D & E 8 St",266,12.71028,23.36449
"Bank St & Hudson St",346,7.102804,7.28972
"Bank St & Washington St",238,5.046729,6.728972
"Barclay St & Church St",417,1.308411,11.21495
"Barrow St & Hudson St",127,.5607477,7.476635
"Bayard St & Baxter St",355,.9345794,.3738318
"Bedford Ave & S 9 St",443,5.981308,0
"Bialystoker Pl & Delancey St",356,10.65421,12.14953
"",395,,
"Broad St & Bridge St",260,0,3.364486
"Broadway & Battery Pl",304,2.242991,.3738318
"Broadway & Berry St",389,10.09346,2.803738
"Broadway & E 14 St",285,8.224299,2.242991
"Broadway & E 22 St",402,22.24299,.3738318
"",444,,
"Broadway & W 29 St",486,16.82243,0
"Broadway & W 32 St",498,50.65421,.3738318
"Broadway & W 36 St",267,32.8972,0
"Broadway & W 37 St",362,44.6729,0
"Broadway & W 38 St",533,37.94392,.1869159
"Broadway & W 41 St",465,22.42991,.5607477
"Broadway & W 49 St",173,22.80374,.3738318
"Broadway & W 51 St",500,35.88785,.7476636
"Broadway & W 53 St",469,27.28972,0
"Broadway & W 56 St",468,21.68224,0
"Broadway & W 58 St",457,100,100
"Broadway & W 60 St",499,11.96262,0
"Bus Slip & State St",427,0,.9345794
"Cadman Plaza E & Red Cross Pl",321,4.299066,4.11215
"Cadman Plaza E & Tillary St",232,3.551402,.5607477
"Cadman Plaza West & Montague St",314,7.102804,1.682243
"Canal St & Rutgers St",307,8.411215,8.785047
"Carlton Ave & Park Ave",419,.9345794,.1869159
"Carmine St & 6 Ave",368,4.485981,4.485981
"Catherine St & Monroe St",2009,3.364486,9.345795
"Central Park S & 6 Ave",2006,47.47663,.7476636
"Centre St & Chambers St",387,9.719626,.5607477
"Centre St & Worth St",386,6.915888,1.308411
"Cherry St",332,12.33645,17.00935
"Christopher St & Greenwich St",358,3.17757,10.28037
"Clark St & Henry St",391,7.476635,0
"Clermont Ave & Lafayette Ave",420,11.02804,0
"Clermont Ave & Park Ave",421,3.738318,2.616822
"Cleveland Pl & Spring St",151,5.046729,1.869159
"",306,,
"Clinton Ave & Flushing Ave",343,0,6.35514
"Clinton Ave & Myrtle Ave",366,8.037383,5.420561
"Clinton St & Grand St",350,8.785047,12.33645
"Clinton St & Joralemon St",143,5.046729,5.046729
"Clinton St & Tillary St",322,1.308411,0
"Columbia Heights & Cranberry St",216,3.551402,1.308411
"Columbia St & Rivington St",342,10.46729,15.3271
"Concord St & Bridge St",278,1.682243,0
"Cumberland St & Lafayette Ave",416,6.168224,0
"DeKalb Ave & Hudson Ave",324,2.429907,4.299066
"DeKalb Ave & S Portland Ave",241,5.981308,.1869159
"DeKalb Ave & Skillman St",409,3.17757,3.925234
"DeKalb Ave & Vanderbilt Ave",258,12.14953,2.056075
"Dean St & 4 Ave",467,8.224299,1.682243
"Division St & Bowery",296,.9345794,0
"Duane St & Greenwich St",276,1.869159,3.738318
"Duffield St & Willoughby St",390,.3738318,6.915888
"E 10 St & 5 Ave",280,2.990654,2.803738
"E 10 St & Avenue A",445,4.299066,.1869159
"E 11 St & 1 Ave",326,11.02804,8.971963
"E 11 St & 2 Ave",237,10.09346,4.672897
"E 11 St & Broadway",357,8.224299,.3738318
"E 12 St & 3 Ave",483,2.242991,2.056075
"",433,,
"",511,,
"E 15 St & 3 Ave",297,8.785047,.1869159
"E 16 St & 5 Ave",496,13.45794,14.76636
"",475,,
"E 17 St & Broadway",497,8.971963,2.429907
"E 19 St & 3 Ave",325,9.53271,0
"E 2 St & 2 Ave",403,2.803738,6.728972
"E 2 St & Avenue B",301,11.21495,1.682243
"E 2 St & Avenue C",150,15.88785,15.14019
"E 20 St & 2 Ave",461,8.037383,5.046729
"E 20 St & FDR Drive",487,9.53271,4.11215
"E 20 St & Park Ave",503,16.63551,3.925234
"E 23 St & 1 Ave",545,6.542056,6.915888
"E 24 St & Park Ave S",491,18.69159,1.121495
"E 25 St & 1 Ave",174,6.915888,0
"E 25 St & 2 Ave",507,5.607477,0
"E 27 St & 1 Ave",2012,11.7757,3.551402
"",428,,
"E 30 St & Park Ave S",546,11.40187,1.495327
"E 31 St & 3 Ave",476,6.542056,.1869159
"E 32 St & Park Ave",472,17.75701,1.121495
"",527,,
"E 33 St & 5 Ave",526,22.05607,1.682243
"",160,,
"E 39 St & 2 Ave",518,5.233645,0
"E 39 St & 3 Ave",167,12.71028,.5607477
