dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,11.9883,6.578948
"1 Ave & E 18 St",2003,13.45029,18.85965
"1 Ave & E 30 St",536,17.25146,1.900585
"1 Ave & E 44 St",455,26.75439,5.847953
"",489,,
"11 Ave & W 27 St",458,12.5731,2.631579
"11 Ave & W 41 St",478,13.30409,7.894737
"11 Ave & W 59 St",530,15.93567,19.29825
"12 Ave & W 40 St",514,5.701755,2.48538
"2 Ave & E 31 St",528,21.92982,0
"",290,,
"3 Ave & Schermerhorn St",298,.1461988,2.923977
"5 Ave & E 29 St",474,27.33918,1.461988
"",2004,,
"6 Ave & Canal St",377,26.02339,0
"6 Ave & W 33 St",505,28.80117,0
"",521,,
"8 Ave & W 33 St",490,20.90643,1.461988
"8 Ave & W 52 St",447,34.94152,0
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,7.894737,4.97076
"9 Ave & W 45 St",479,22.51462,.4385965
"Adelphi St & Myrtle Ave",270,8.040936,9.941521
"Allen St & Stanton St",312,11.9883,10.23392
"Allen St & Hester St",361,8.187135,6.432748
"Allen St & Rivington St",401,7.748538,6.140351
"",271,,
"Atlantic Ave & Fort Greene Pl",83,0,0
"Atlantic Ave & Furman St",398,.1461988,5.847953
"Avenue D & E 12 St",339,10.81871,24.5614
"Avenue D & E 3 St",302,15.64328,26.16959
"Avenue D & E 8 St",266,13.30409,32.01754
"Bank St & Hudson St",346,9.210526,8.333333
"Bank St & Washington St",238,4.678362,4.532164
"Barclay St & Church St",417,16.37427,4.239766
"Barrow St & Hudson St",127,2.923977,3.362573
"Bayard St & Baxter St",355,9.941521,.1461988
"Bedford Ave & S 9 St",443,4.093567,1.023392
"Bialystoker Pl & Delancey St",356,15.64328,32.30994
"",395,,
"Broad St & Bridge St",260,91.81287,54.97076
"Broadway & Battery Pl",304,11.25731,.877193
"Broadway & Berry St",389,4.97076,1.900585
"Broadway & E 14 St",285,19.44444,.2923976
"Broadway & E 22 St",402,26.46199,0
"",444,,
"Broadway & W 29 St",486,33.77193,0
"Broadway & W 32 St",498,32.45614,0
"Broadway & W 36 St",267,39.61988,0
"Broadway & W 37 St",362,47.07602,.7309942
"Broadway & W 38 St",533,37.7193,.2923976
"Broadway & W 41 St",465,39.18129,.2923976
"Broadway & W 49 St",173,33.04094,.7309942
"Broadway & W 51 St",500,48.39181,.5847953
"Broadway & W 53 St",469,45.17544,0
"Broadway & W 56 St",468,45.61404,0
"Broadway & W 58 St",457,36.11111,0
"Broadway & W 60 St",499,31.14035,0
"Bus Slip & State St",427,14.76608,2.631579
"Cadman Plaza E & Red Cross Pl",321,13.0117,6.140351
"Cadman Plaza E & Tillary St",232,6.28655,2.046784
"Cadman Plaza West & Montague St",314,6.725146,2.48538
"Canal St & Rutgers St",307,6.725146,.1461988
"Carlton Ave & Park Ave",419,.1461988,7.748538
"Carmine St & 6 Ave",368,6.28655,2.192982
"Catherine St & Monroe St",2009,6.725146,8.479532
"Central Park S & 6 Ave",2006,29.67836,1.608187
"Centre St & Chambers St",387,17.83626,2.923977
"Centre St & Worth St",386,29.23977,1.754386
"Cherry St",332,11.40351,25.73099
"Christopher St & Greenwich St",358,5.409357,8.625731
"Clark St & Henry St",391,6.432748,.1461988
"Clermont Ave & Lafayette Ave",420,6.28655,3.216374
"Clermont Ave & Park Ave",421,4.532164,6.725146
"Cleveland Pl & Spring St",151,16.52047,2.923977
"Cliff St & Fulton St",306,7.309941,3.80117
"Clinton Ave & Flushing Ave",343,.7309942,7.163743
"Clinton Ave & Myrtle Ave",366,6.28655,8.625731
"Clinton St & Grand St",350,14.32749,23.97661
"Clinton St & Joralemon St",143,5.847953,6.871345
"Clinton St & Tillary St",322,1.900585,2.192982
"Columbia Heights & Cranberry St",216,4.824562,0
"Columbia St & Rivington St",342,12.7193,27.33918
"Concord St & Bridge St",278,1.169591,4.385965
"Cumberland St & Lafayette Ave",416,4.97076,1.461988
"DeKalb Ave & Hudson Ave",324,4.824562,6.432748
"DeKalb Ave & S Portland Ave",241,3.947368,2.923977
"DeKalb Ave & Skillman St",409,3.80117,5.263158
"DeKalb Ave & Vanderbilt Ave",258,6.871345,1.023392
"Dean St & 4 Ave",467,3.070175,4.239766
"Division St & Bowery",296,6.578948,1.315789
"Duane St & Greenwich St",276,18.85965,.4385965
"Duffield St & Willoughby St",390,50.43859,1.900585
"E 10 St & 5 Ave",280,21.49123,0
"E 10 St & Avenue A",445,10.81871,9.649123
"E 11 St & 1 Ave",326,14.18129,14.61988
"E 11 St & 2 Ave",237,10.96491,10.38012
"E 11 St & Broadway",357,26.90059,0
"E 12 St & 3 Ave",483,15.64328,.7309942
"E 13 St & Avenue A",433,13.88889,16.37427
"",511,,
"E 15 St & 3 Ave",297,16.52047,.1461988
"E 16 St & 5 Ave",496,26.90059,1.754386
"",475,,
"E 17 St & Broadway",497,22.07602,1.900585
"E 19 St & 3 Ave",325,18.12865,0
"E 2 St & 2 Ave",403,4.239766,11.69591
"E 2 St & Avenue B",301,14.61988,25.4386
"E 2 St & Avenue C",150,15.64328,11.40351
"E 20 St & 2 Ave",461,12.4269,3.80117
"E 20 St & FDR Drive",487,9.064327,14.18129
"E 20 St & Park Ave",503,21.78363,1.461988
"E 23 St & 1 Ave",545,12.5731,5.847953
"E 24 St & Park Ave S",491,30.55556,.2923976
"E 25 St & 1 Ave",174,15.93567,4.385965
"E 25 St & 2 Ave",507,13.45029,0
"E 27 St & 1 Ave",2012,21.05263,1.315789
"",428,,
"E 30 St & Park Ave S",546,8.333333,.2923976
"E 31 St & 3 Ave",476,20.90643,0
"E 32 St & Park Ave",472,20.32164,1.023392
"E 33 St & 2 Ave",527,18.56725,10.96491
"E 33 St & 5 Ave",526,90.05848,83.91813
"",160,,
"E 39 St & 2 Ave",518,14.61988,0
"E 39 St & 3 Ave",167,21.49123,.4385965
"E 4 St & 2 Ave",439,57.01754,5.555555
"",153,,
"",2017,,
"",318,,
"E 45 St & 3 Ave",440,34.21053,5.263158
"E 47 St & 1 Ave",516,27.33918,3.654971
"E 47 St & 2 Ave",164,35.96491,2.046784
"E 47 St & Park Ave",359,36.40351,0
"E 48 St & 3 Ave",228,36.40351,3.362573
"",538,,
"E 5 St & Avenue C",393,14.18129,31.28655
"E 51 St & 1 Ave",454,21.05263,0
"E 51 St & Lexington Ave",522,52.33918,7.309941
"E 52 St & 2 Ave",441,25.2924,.4385965
"",367,,
"E 53 St & Madison Ave",456,37.4269,1.023392
"E 55 St & 2 Ave",385,50.43859,50.43859
"E 55 St & Lexington Ave",2023,86.8421,.1461988
"",464,,
"",137,,
"E 58 St & 3 Ave",305,31.43275,3.508772
"E 60 St & York Ave",2022,20.76023,0
"E 6 St & Avenue B",317,14.47368,28.80117
"E 6 St & Avenue D",411,13.74269,21.78363
"E 7 St & Avenue A",432,14.18129,14.91228
"E 9 St & Avenue C",394,12.5731,19.15205
"",263,,
"Emerson Pl & Myrtle Ave",354,.4385965,3.508772
"FDR Drive & E 35 St",501,13.0117,.2923976
"Carlton Ave & Flushing Ave",242,4.824562,9.795321
"Forsyth St & Broome St",531,6.140351,.1461988
"Forsyth St & Canal St",412,6.725146,1.023392
"Franklin Ave & Myrtle Ave",372,.4385965,3.654971
"Franklin St & W Broadway",79,20.32164,3.508772
"Front St & Gold St",418,4.532164,8.77193
"Front St & Maiden Ln",351,14.61988,5.116959
"Front St & Washington St",2000,13.0117,10.23392
"Fulton St & Clermont Ave",397,4.093567,0
"Fulton St & Grand Ave",365,2.631579,3.216374
"Fulton St & Rockwell Pl",243,1.608187,5.409357
"",384,,
"Fulton St & William St",316,13.45029,.5847953
"",218,,
"Grand Army Plaza & Central Park S",281,30.55556,0
"Grand St & Greene St",2010,25.4386,3.216374
"Grand St & Havemeyer St",471,1.315789,.5847953
"Great Jones St",229,22.36842,3.508772
"",284,,
"Greenwich Ave & Charles St",383,6.725146,2.631579
"",329,,
"",147,,
"Hancock St & Bedford Ave",436,.877193,2.923977
"",431,,
"Harrison St & Hudson St",249,24.7076,3.362573
"Henry St & Atlantic Ave",157,1.900585,3.947368
"Henry St & Grand St",502,13.1579,29.97076
"Henry St & Poplar St",407,1.461988,1.461988
"Hicks St & Montague St",406,2.631579,1.754386
"Howard St & Centre St",268,20.90643,6.140351
"Hudson St & Reade St",146,20.90643,.1461988
"Jay St & Tech Pl",392,1.023392,5.263158
"John St & William St",376,11.54971,1.023392
"Johnson St & Gold St",261,.2923976,2.046784
"",233,,
"Kent Ave & S 11 St",282,2.631579,4.678362
