dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,11.89655,3.965517
"1 Ave & E 18 St",2003,13.7931,13.10345
"1 Ave & E 30 St",536,18.7931,1.034483
"1 Ave & E 44 St",455,20.68966,3.62069
"",489,,
"11 Ave & W 27 St",458,18.44828,2.413793
"11 Ave & W 41 St",478,13.96552,11.72414
"11 Ave & W 59 St",530,10.51724,10
"12 Ave & W 40 St",514,3.793103,1.551724
"2 Ave & E 31 St",528,20.86207,0
"",290,,
"3 Ave & Schermerhorn St",298,.6896552,1.37931
"5 Ave & E 29 St",474,26.37931,2.413793
"",2004,,
"6 Ave & Canal St",377,19.65517,.1724138
"6 Ave & W 33 St",505,30.17241,1.034483
"",521,,
"8 Ave & W 33 St",490,30,0
"8 Ave & W 52 St",447,30.34483,.1724138
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,13.7931,1.551724
"9 Ave & W 45 St",479,19.13793,.5172414
"Adelphi St & Myrtle Ave",270,11.2069,8.275862
"Allen St & Stanton St",312,11.89655,4.310345
"Allen St & Hester St",361,9.310345,2.241379
"Allen St & Rivington St",401,11.03448,.3448276
"",271,,
"Atlantic Ave & Fort Greene Pl",83,1.37931,.1724138
"Atlantic Ave & Furman St",398,1.37931,1.37931
"Avenue D & E 12 St",339,16.2069,15.86207
"Avenue D & E 3 St",302,16.37931,21.37931
"Avenue D & E 8 St",266,13.62069,25.17241
"Bank St & Hudson St",346,9.482759,2.586207
"Bank St & Washington St",238,7.068965,4.827586
"Barclay St & Church St",417,11.03448,3.448276
"Barrow St & Hudson St",127,9.655172,1.896552
"Bayard St & Baxter St",355,16.37931,.1724138
"Bedford Ave & S 9 St",443,6.034483,.6896552
"Bialystoker Pl & Delancey St",356,10.34483,21.89655
"",395,,
"Broad St & Bridge St",260,75.17242,62.24138
"Broadway & Battery Pl",304,9.137931,.1724138
"Broadway & Berry St",389,8.448276,.862069
"Broadway & E 14 St",285,17.06897,0
"Broadway & E 22 St",402,32.75862,0
"",444,,
"Broadway & W 29 St",486,34.82759,.3448276
"Broadway & W 32 St",498,37.93103,0
"Broadway & W 36 St",267,38.62069,0
"Broadway & W 37 St",362,52.75862,12.24138
"Broadway & W 38 St",533,35.68966,0
"Broadway & W 41 St",465,30.51724,0
"Broadway & W 49 St",173,33.62069,.3448276
"Broadway & W 51 St",500,39.31034,.6896552
"Broadway & W 53 St",469,36.03448,.1724138
"Broadway & W 56 St",468,39.31034,0
"Broadway & W 58 St",457,29.13793,0
"Broadway & W 60 St",499,17.06897,0
"Bus Slip & State St",427,11.37931,2.931035
