dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,10.54913,9.682081
"1 Ave & E 18 St",2003,12.42775,15.0289
"1 Ave & E 30 St",536,24.42196,2.16763
"1 Ave & E 44 St",455,30.78035,4.768786
"",489,,
"11 Ave & W 27 St",458,14.59538,3.901734
"11 Ave & W 41 St",478,9.248555,10.69364
"11 Ave & W 59 St",530,6.069364,8.381503
"12 Ave & W 40 St",514,4.33526,13.15029
"2 Ave & E 31 St",528,14.45087,0
"",290,,
"",298,,
"5 Ave & E 29 St",474,29.62428,.867052
"",2004,,
"6 Ave & Canal St",377,18.64162,8.092485
"6 Ave & W 33 St",505,18.20809,.1445087
"",521,,
"8 Ave & W 33 St",490,6.936416,1.589595
"8 Ave & W 52 St",447,26.30058,0
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,5.202312,14.59538
"9 Ave & W 45 St",479,14.30636,1.878613
"Adelphi St & Myrtle Ave",270,11.41619,4.33526
"Allen St & Stanton St",312,5.057804,6.069364
"Allen St & Hester St",361,3.757226,4.190752
"Allen St & Rivington St",401,7.080925,3.034682
"",271,,
"Atlantic Ave & Fort Greene Pl",83,3.468208,0
"Atlantic Ave & Furman St",398,3.901734,3.612717
"Avenue D & E 12 St",339,7.658959,5.780347
"Avenue D & E 3 St",302,11.27168,14.73988
"Avenue D & E 8 St",266,9.393064,17.34104
"Bank St & Hudson St",346,7.080925,6.213873
"Bank St & Washington St",238,4.768786,4.913295
"Barclay St & Church St",417,5.057804,7.369942
"Barrow St & Hudson St",127,4.190752,16.18497
"Bayard St & Baxter St",355,3.468208,3.323699
"Bedford Ave & S 9 St",443,8.959538,0
"Bialystoker Pl & Delancey St",356,4.768786,36.12717
"",395,,
"Broad St & Bridge St",260,7.369942,6.213873
"Broadway & Battery Pl",304,4.479769,.5780347
"Broadway & Berry St",389,11.99422,0
"Broadway & E 14 St",285,5.057804,1.156069
"Broadway & E 22 St",402,18.93064,.5780347
"",444,,
"Broadway & W 29 St",486,28.90173,0
"Broadway & W 32 St",498,23.12139,0
"Broadway & W 36 St",267,33.95954,0
"Broadway & W 37 St",362,49.42197,0
"Broadway & W 38 St",533,34.39306,0
"Broadway & W 41 St",465,29.33526,0
"Broadway & W 49 St",173,27.16763,0
"Broadway & W 51 St",500,35.69364,0
"Broadway & W 53 St",469,40.89595,0
"Broadway & W 56 St",468,46.82081,0
"Broadway & W 58 St",457,26.7341,0
"Broadway & W 60 St",499,8.67052,0
"Bus Slip & State St",427,3.468208,4.479769
"Cadman Plaza E & Red Cross Pl",321,4.913295,3.901734
"Cadman Plaza E & Tillary St",232,5.202312,.433526
"Cadman Plaza West & Montague St",314,7.080925,.1445087
"Canal St & Rutgers St",307,5.49133,3.612717
"Carlton Ave & Park Ave",419,7.225433,0
"Carmine St & 6 Ave",368,3.757226,6.50289
"Catherine St & Monroe St",2009,3.468208,21.24277
"Central Park S & 6 Ave",2006,28.75723,1.300578
"Centre St & Chambers St",387,8.959538,3.179191
"Centre St & Worth St",386,6.213873,2.890173
"Cherry St",332,7.225433,24.27746
"Christopher St & Greenwich St",358,6.069364,19.50867
"Clark St & Henry St",391,13.43931,.2890173
"Clermont Ave & Lafayette Ave",420,10.40462,.867052
"Clermont Ave & Park Ave",421,7.369942,0
"Cleveland Pl & Spring St",151,12.57225,3.323699
"Cliff St & Fulton St",306,4.479769,11.99422
"Clinton Ave & Flushing Ave",343,4.046243,4.190752
"Clinton Ave & Myrtle Ave",366,12.13873,1.011561
"Clinton St & Grand St",350,8.092485,18.93064
"Clinton St & Joralemon St",143,6.50289,2.023121
"Clinton St & Tillary St",322,5.635838,0
"Columbia Heights & Cranberry St",216,6.50289,0
"Columbia St & Rivington St",342,5.780347,21.24277
"Concord St & Bridge St",278,5.49133,.433526
"Cumberland St & Lafayette Ave",416,8.67052,0
"DeKalb Ave & Hudson Ave",324,5.057804,7.225433
"DeKalb Ave & S Portland Ave",241,8.67052,0
"DeKalb Ave & Skillman St",409,5.924856,.867052
"DeKalb Ave & Vanderbilt Ave",258,11.27168,.5780347
"Dean St & 4 Ave",467,5.780347,2.023121
"Division St & Bowery",296,3.468208,7.369942
"Duane St & Greenwich St",276,4.190752,5.924856
"Duffield St & Willoughby St",390,4.913295,3.323699
"E 10 St & 5 Ave",280,3.468208,5.49133
"E 10 St & Avenue A",445,9.971098,8.381503
"E 11 St & 1 Ave",326,12.71676,5.49133
"E 11 St & 2 Ave",237,9.537572,2.456647
"E 11 St & Broadway",357,6.358381,.7225434
"E 12 St & 3 Ave",483,9.104046,.867052
"E 13 St & Avenue A",433,8.67052,1.445087
"",511,,
"E 15 St & 3 Ave",297,11.27168,.433526
"E 16 St & 5 Ave",496,20.66474,3.612717
"",475,,
"E 17 St & Broadway",497,11.7052,3.612717
"E 19 St & 3 Ave",325,8.526011,0
"E 2 St & 2 Ave",403,3.468208,7.514451
"E 2 St & Avenue B",301,13.00578,9.537572
"E 2 St & Avenue C",150,13.2948,8.236994
"E 20 St & 2 Ave",461,11.27168,2.023121
"E 20 St & FDR Drive",487,9.82659,5.780347
"E 20 St & Park Ave",503,44.9422,1.589595
"E 23 St & 1 Ave",545,11.7052,3.901734
"E 24 St & Park Ave S",491,28.3237,3.468208
"E 25 St & 1 Ave",174,12.42775,0
"E 25 St & 2 Ave",507,10.98266,0
"E 27 St & 1 Ave",2012,15.89595,.867052
"",428,,
"E 30 St & Park Ave S",546,16.76301,1.011561
"E 31 St & 3 Ave",476,11.56069,0
"E 32 St & Park Ave",472,25.28902,0
"E 33 St & 2 Ave",527,10.69364,0
"E 33 St & 5 Ave",526,31.50289,0
"",160,,
"E 39 St & 2 Ave",518,14.01734,0
"E 39 St & 3 Ave",167,22.83237,0
"E 4 St & 2 Ave",439,5.635838,4.479769
"",153,,
"",2017,,
"",318,,
"E 45 St & 3 Ave",440,40.75145,1.011561
"E 47 St & 1 Ave",516,33.3815,0
"E 47 St & 2 Ave",164,34.9711,0
"E 47 St & Park Ave",359,28.90173,0
"E 48 St & 3 Ave",228,33.67052,0
"",538,,
"E 5 St & Avenue C",393,11.41619,7.514451
"E 51 St & 1 Ave",454,24.42196,0
