dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,10.71429,10.41667
"1 Ave & E 18 St",2003,14.73214,18.89881
"1 Ave & E 30 St",536,18.60119,2.083333
"1 Ave & E 44 St",455,14.73214,1.934524
"",489,,
"11 Ave & W 27 St",458,19.79167,4.017857
"11 Ave & W 41 St",478,14.28571,12.5
"11 Ave & W 59 St",530,7.886905,0
"12 Ave & W 40 St",514,.5952381,7.142857
"2 Ave & E 31 St",528,19.19643,0
"",290,,
"3 Ave & Schermerhorn St",298,1.041667,.7440476
"5 Ave & E 29 St",474,33.92857,.8928571
"",2004,,
"6 Ave & Canal St",377,25.14881,.297619
"6 Ave & W 33 St",505,37.05357,.1488095
"",521,,
"8 Ave & W 33 St",490,26.93452,.8928571
"8 Ave & W 52 St",447,36.16071,.1488095
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,15.02976,.5952381
"9 Ave & W 45 St",479,22.47024,.297619
"Adelphi St & Myrtle Ave",270,11.60714,9.821428
"Allen St & Stanton St",312,12.35119,7.738095
"Allen St & Hester St",361,8.333333,7.589286
"Allen St & Rivington St",401,9.375,7.440476
"",271,,
"Atlantic Ave & Fort Greene Pl",83,.1488095,.1488095
"Atlantic Ave & Furman St",398,.8928571,4.017857
"Avenue D & E 12 St",339,12.79762,26.93452
"Avenue D & E 3 St",302,17.55952,27.67857
"Avenue D & E 8 St",266,17.41072,31.99405
"Bank St & Hudson St",346,14.58333,1.488095
"Bank St & Washington St",238,11.45833,5.952381
"Barclay St & Church St",417,13.83929,.8928571
"Barrow St & Hudson St",127,7.440476,1.934524
"Bayard St & Baxter St",355,11.16071,.297619
"Bedford Ave & S 9 St",443,6.398809,0
"Bialystoker Pl & Delancey St",356,11.60714,28.86905
"",395,,
"Broad St & Bridge St",260,35.86309,4.166667
"Broadway & Battery Pl",304,12.5,1.339286
"Broadway & Berry St",389,5.208333,1.190476
"Broadway & E 14 St",285,16.22024,0
"Broadway & E 22 St",402,29.76191,.1488095
"",444,,
"Broadway & W 29 St",486,40.92262,0
