dock_name,dock_id,percent_empty,percent_full
"1 Ave & E 16 St",504,12.04112,.4405286
"1 Ave & E 18 St",2003,13.50954,11.60059
"1 Ave & E 30 St",536,27.60646,9.544787
"1 Ave & E 44 St",455,61.96769,46.40235
"",489,,
"11 Ave & W 27 St",458,18.94273,2.643172
"11 Ave & W 41 St",478,11.60059,11.45374
"11 Ave & W 59 St",530,6.60793,0
"12 Ave & W 40 St",514,2.643172,5.873715
"2 Ave & E 31 St",528,28.48752,0
"",290,,
"3 Ave & Schermerhorn St",298,1.908957,0
"5 Ave & E 29 St",474,97.65051,94.71365
"",2004,,
"6 Ave & Canal St",377,22.32012,.1468429
"6 Ave & W 33 St",505,36.12335,0
"",521,,
"8 Ave & W 33 St",490,20.70485,1.0279
"8 Ave & W 52 St",447,36.71072,0
"",404,,
"",463,,
"",434,,
"9 Ave & W 22 St",509,13.95007,.8810573
"9 Ave & W 45 St",479,21.43906,1.468429
"Adelphi St & Myrtle Ave",270,11.60059,15.4185
"Allen St & Stanton St",312,11.01322,3.817915
"Allen St & Hester St",361,9.985315,13.06902
"Allen St & Rivington St",401,10.279,7.048458
"",271,,
"Atlantic Ave & Fort Greene Pl",83,2.0558,0
"Atlantic Ave & Furman St",398,.4405286,1.615272
"Avenue D & E 12 St",339,13.50954,13.3627
"Avenue D & E 3 St",302,16.00587,26.28488
"Avenue D & E 8 St",266,14.09692,31.57122
"Bank St & Hudson St",346,8.66373,.7342144
"Bank St & Washington St",238,9.985315,4.405286
"Barclay St & Church St",417,12.62849,1.615272
"Barrow St & Hudson St",127,5.726872,1.762115
"Bayard St & Baxter St",355,13.50954,0
"Bedford Ave & S 9 St",443,11.3069,.4405286
"Bialystoker Pl & Delancey St",356,10.57269,26.57856
"",395,,
"Broad St & Bridge St",260,27.60646,6.461087
"Broadway & Battery Pl",304,17.62115,.1468429
"Broadway & Berry St",389,9.544787,.1468429
"Broadway & E 14 St",285,15.4185,.1468429
"Broadway & E 22 St",402,32.59912,0
"",444,,
"Broadway & W 29 St",486,28.34068,.5873715
"Broadway & W 32 St",498,46.10867,0
"Broadway & W 36 St",267,43.90602,0
"Broadway & W 37 St",362,52.56975,0
"Broadway & W 38 St",533,41.26285,2.790015
"Broadway & W 41 St",465,44.19971,0
"Broadway & W 49 St",173,38.76652,1.174743
"Broadway & W 51 St",500,49.04552,0
"Broadway & W 53 St",469,49.92658,0
"Broadway & W 56 St",468,39.20705,0
"Broadway & W 58 St",457,29.66226,0
"Broadway & W 60 St",499,32.45227,0
"Bus Slip & State St",427,14.53745,3.524229
"Cadman Plaza E & Red Cross Pl",321,18.06167,5.433187
"Cadman Plaza E & Tillary St",232,12.62849,1.908957
"Cadman Plaza West & Montague St",314,28.7812,.4405286
"Canal St & Rutgers St",307,10.42584,17.76799
"Carlton Ave & Park Ave",419,7.048458,.7342144
"Carmine St & 6 Ave",368,10.279,1.0279
"Catherine St & Monroe St",2009,6.167401,11.45374
"Central Park S & 6 Ave",2006,7.195301,.4405286
"Centre St & Chambers St",387,21.5859,1.174743
"Centre St & Worth St",386,29.07489,.5873715
"Cherry St",332,13.65639,20.558
"Christopher St & Greenwich St",358,7.488987,6.754772
"Clark St & Henry St",391,12.92217,0
"Clermont Ave & Lafayette Ave",420,16.00587,3.377386
"Clermont Ave & Park Ave",421,11.16006,4.258443
"Cleveland Pl & Spring St",151,22.32012,3.230543
"",306,,
"Clinton Ave & Flushing Ave",343,8.370044,5.433187
"Clinton Ave & Myrtle Ave",366,10.71953,13.65639
"Clinton St & Grand St",350,13.06902,26.13803
"Clinton St & Joralemon St",143,15.4185,2.0558
"Clinton St & Tillary St",322,11.60059,.8810573
"Columbia Heights & Cranberry St",216,4.698972,.2936858
"Columbia St & Rivington St",342,11.3069,25.55066
"Concord St & Bridge St",278,7.488987,0
"Cumberland St & Lafayette Ave",416,13.21586,1.762115
"DeKalb Ave & Hudson Ave",324,11.16006,3.671072
"DeKalb Ave & S Portland Ave",241,12.48164,.5873715
"DeKalb Ave & Skillman St",409,6.901615,.4405286
"DeKalb Ave & Vanderbilt Ave",258,12.92217,3.817915
"Dean St & 4 Ave",467,16.29956,.2936858
"Division St & Bowery",296,5.433187,0
"Duane St & Greenwich St",276,25.6975,2.349486
"Duffield St & Willoughby St",390,10.71953,1.468429
"E 10 St & 5 Ave",280,25.40382,0
"E 10 St & Avenue A",445,8.810573,5.286344
"E 11 St & 1 Ave",326,14.83113,12.77533
"E 11 St & 2 Ave",237,14.97797,3.964758
"E 11 St & Broadway",357,35.38913,0
"E 12 St & 3 Ave",483,18.06167,.5873715
"E 13 St & Avenue A",433,13.65639,7.929515
"",511,,
"E 15 St & 3 Ave",297,24.22907,0
"E 16 St & 5 Ave",496,29.95595,.4405286
"",475,,
"E 17 St & Broadway",497,26.28488,.5873715
"E 19 St & 3 Ave",325,22.02643,0
"E 2 St & 2 Ave",403,6.020558,7.488987
"E 2 St & Avenue B",301,14.83113,7.342144
"E 2 St & Avenue C",150,19.38326,11.60059
"E 20 St & 2 Ave",461,13.50954,1.908957
"E 20 St & FDR Drive",487,9.544787,3.230543
"E 20 St & Park Ave",503,25.84435,.8810573
"E 23 St & 1 Ave",545,9.838472,6.461087
"E 24 St & Park Ave S",491,25.99119,0
"E 25 St & 1 Ave",174,18.64905,1.615272
"E 25 St & 2 Ave",507,14.24376,0
"E 27 St & 1 Ave",2012,19.38326,0
"",428,,
"E 30 St & Park Ave S",546,22.90749,0
"E 31 St & 3 Ave",476,19.97063,0
"E 32 St & Park Ave",472,30.39647,0
"",527,,
"E 33 St & 5 Ave",526,35.09545,0
"",160,,
"E 39 St & 2 Ave",518,14.09692,.1468429
"E 39 St & 3 Ave",167,30.24963,.4405286
"E 4 St & 2 Ave",439,1.468429,1.0279
"",153,,
"",2017,,
"",318,,
"E 45 St & 3 Ave",440,34.80176,3.0837
"E 47 St & 1 Ave",516,52.56975,46.10867
"E 47 St & 2 Ave",164,24.08223,1.908957
"E 47 St & Park Ave",359,35.82966,0
"E 48 St & 3 Ave",228,12.62849,2.496329
"",538,,
"E 5 St & Avenue C",393,17.32746,25.6975
"E 51 St & 1 Ave",454,22.90749,0
"E 51 St & Lexington Ave",522,60.64611,3.377386
"E 52 St & 2 Ave",441,52.56975,2.349486
"",367,,
"E 53 St & Madison Ave",456,71.51248,4.992658
"",385,,
"E 55 St & Lexington Ave",2023,40.38179,4.258443
"",464,,
"",137,,
"E 58 St & 3 Ave",305,31.13069,2.0558
"E 60 St & York Ave",2022,19.23642,0
"E 6 St & Avenue B",317,13.65639,24.37592
"E 6 St & Avenue D",411,14.3906,20.85169
"E 7 St & Avenue A",432,10.279,19.67694
"E 9 St & Avenue C",394,13.06902,21.43906
"",263,,
"Emerson Pl & Myrtle Ave",354,1.615272,4.845815
"FDR Drive & E 35 St",501,9.838472,.1468429
"Carlton Ave & Flushing Ave",242,.5873715,3.230543
"Forsyth St & Broome St",531,5.726872,.4405286
"Forsyth St & Canal St",412,7.342144,4.1116
"Franklin Ave & Myrtle Ave",372,2.936857,1.174743
"Franklin St & W Broadway",79,20.11747,3.524229
"Front St & Gold St",418,11.74743,12.62849
"Front St & Maiden Ln",351,11.89427,5.139501
"Front St & Washington St",2000,18.5022,13.3627
"Fulton St & Clermont Ave",397,15.85903,0
"Fulton St & Grand Ave",365,7.782672,3.671072
"Fulton St & Rockwell Pl",243,1.762115,1.468429
"",384,,
"Fulton St & William St",316,15.12482,0
"",218,,
"Grand Army Plaza & Central Park S",281,58.00294,0
"Grand St & Greene St",2010,25.6975,4.405286
"Grand St & Havemeyer St",471,8.370044,.4405286
"Great Jones St",229,30.837,3.230543
"",284,,
"Greenwich Ave & Charles St",383,13.50954,.4405286
"",329,,
"",147,,
"Hancock St & Bedford Ave",436,12.77533,0
"",431,,
"Harrison St & Hudson St",249,29.95595,3.524229
"Henry St & Atlantic Ave",157,6.020558,1.174743
"Henry St & Grand St",502,12.92217,25.99119
"Henry St & Poplar St",407,2.790015,1.174743
"Hicks St & Montague St",406,6.754772,.5873715
"Howard St & Centre St",268,23.78855,2.936857
"Hudson St & Reade St",146,24.52276,.7342144
"Jay St & Tech Pl",392,15.27166,3.817915
"John St & William St",376,9.544787,.5873715
"Johnson St & Gold St",261,3.230543,.1468429
"",233,,
"Kent Ave & S 11 St",282,4.845815,.8810573
"",161,,
"Lafayette Ave & Classon Ave",364,11.60059,0
"Lafayette Ave & Fort Greene Pl",274,4.1116,0
"Lafayette Ave & St James Pl",399,3.817915,.2936858
"Lafayette St & E 8 St",293,19.67694,.2936858
"",250,,
"Laight St & Hudson St",248,30.10279,4.698972
"Lawrence St & Willoughby St",323,22.46696,3.230543
"Lefferts Pl & Franklin Ave",396,9.69163,.5873715
"Leonard St & Church St",320,20.558,2.0558
"Lexington Ave & Classon Ave",120,13.06902,3.377386
"Lexington Ave & E 24 St",537,21.29222,1.0279
"Lexington Ave & E 29 St",540,18.20852,0
"Liberty St & Broadway",195,29.36858,1.615272
"Lispenard St & Broadway",257,22.90749,3.524229
"Little West St & 1 Pl",2008,2.496329,5.433187
"MacDougal St & Prince St",128,17.32746,8.223201
"MacDougal St & Washington Sq",252,22.32012,.1468429
"Macon St & Nostrand Ave",437,18.94273,1.615272
"Madison St & Clinton St",340,12.92217,20.26432
"Madison St & Montgomery St",291,14.3906,28.48752
"Maiden Ln & Pearl St",264,8.810573,3.377386
"Market St & Cherry St",408,6.60793,16.15272
"",375,,
"Mercer St & Spring St",303,23.34802,7.488987
"Metropolitan Ave & Bedford Ave",539,12.77533,1.321586
"Monroe St & Bedford Ave",344,13.65639,.2936858
"Monroe St & Classon Ave",289,4.405286,2.496329
"Mott St & Prince St",251,13.50954,1.0279
"Murray St & West St",309,23.05433,5.139501
"Myrtle Ave & St Edwards St",245,16.29956,0
"Nassau St & Navy St",144,1.0279,5.433187
"Norfolk St & Broome St",311,11.60059,15.12482
"Old Fulton St",217,2.790015,2.936857
"Old Slip & Front St",337,36.85756,0
"Park Ave & St Edwards St",119,0,0
"Fulton St & Broadway",319,17.18062,2.202643
"Pearl St & Anchorage Pl",414,15.4185,15.85903
"Pearl St & Hanover Square",415,11.3069,3.524229
"Peck Slip & Front St",279,4.845815,.2936858
"Perry St & Bleecker St",247,12.04112,3.377386
"Pershing Square North",519,20.26432,0
"Pershing Square South",517,47.13656,0
"Pike St & E Broadway",295,11.74743,13.06902
"Pike St & Monroe St",331,10.57269,19.23642
"Pitt St & Stanton St",400,20.11747,32.45227
"Railroad Ave & Kay Ave",2005,4.405286,4.552129
"Reade St & Broadway",330,29.07489,1.174743
"Rivington St & Chrystie St",473,12.18796,1.908957
"Rivington St & Ridge St",349,16.88693,24.22907
"S 3 St & Bedford Ave",481,13.3627,1.615272
"S 4 St & Wythe Ave",460,5.286344,4.845815
"S 5 Pl & S 5 St",532,2.0558,.1468429
"S Portland Ave & Hanson Pl",353,19.23642,0
"Sands St & Navy St",2001,100,100
"",300,,
"South End Ave & Liberty St",3002,3.671072,2.496329
"South St & Gouverneur Ln",315,15.85903,2.643172
"South St & Whitehall St",259,12.77533,3.230543
"",224,,
"St James Pl & Oliver St",308,6.461087,2.0558
"St James Pl & Pearl St",82,2.496329,4.552129
"St Marks Pl & 1 Ave",438,21.87959,18.35536
"St Marks Pl & 2 Ave",236,16.4464,3.377386
"Stanton St & Chrystie St",265,9.397944,6.60793
"Stanton St & Mangin St",341,10.57269,19.5301
"State St & Smith St",310,5.726872,.2936858
"Suffolk St & Stanton St",410,11.60059,16.29956
"Sullivan St & Washington Sq",336,20.11747,1.0279
"University Pl & E 14 St",382,20.11747,.8810573
"Vesey Pl & River Terrace",327,15.56534,1.321586
"W 11 St & 6 Ave",254,32.01175,1.908957
"W 13 St & 5 Ave",253,56.24082,0
"W 13 St & 6 Ave",345,30.39647,0
"W 13 St & 7 Ave",223,17.32746,0
"",225,,
"W 15 St & 7 Ave",482,13.50954,0
"W 16 St & The High Line",212,32.45227,3.964758
"",116,,
"W 18 St & 6 Ave",168,0,.4405286
"W 20 St & 11 Ave",459,12.18796,2.643172
"W 20 St & 7 Ave",334,25.11013,0
"W 20 St & 8 Ave",470,16.00587,0
"W 21 St & 6 Ave",435,28.04699,.7342144
"W 22 St & 10 Ave",462,14.3906,.1468429
"W 22 St & 8 Ave",453,21.29222,0
"W 24 St & 7 Ave",446,25.55066,0
"W 25 St & 6 Ave",466,30.69016,2.349486
"W 26 St & 10 Ave",388,15.27166,1.762115
"W 26 St & 8 Ave",494,24.96329,0
"W 27 St & 7 Ave",442,29.22173,0
"",512,,
"W 31 St & 7 Ave",379,33.77386,3.524229
"W 33 St & 7 Ave",492,29.22173,2.349486
"W 34 St & 11 Ave",525,7.782672,.7342144
"W 37 St & 10 Ave",448,12.48164,5.286344
"W 37 St & 5 Ave",485,39.35389,0
"W 38 St & 8 Ave",523,20.99853,2.643172
"",488,,
"W 4 St & 7 Ave S",380,9.544787,3.230543
"W 41 St & 8 Ave",477,24.37592,1.615272
"W 42 St & 8 Ave",529,24.22907,2.643172
"W 43 St & 10 Ave",515,12.92217,5.580029
"W 43 St & 6 Ave",524,42.73128,1.908957
"W 44 St & 5 Ave",484,50.07342,4.992658
"W 45 St & 6 Ave",493,46.10867,4.1116
"W 45 St & 8 Ave",2021,28.34068,0
"W 46 St & 11 Ave",508,10.71953,11.74743
"W 47 St & 10 Ave",495,14.24376,7.929515
"W 49 St & 8 Ave",450,27.60646,1.615272
"",510,,
"W 52 St & 11 Ave",72,7.635829,1.321586
